Student_Name,Study_Method,Test_Score
Shane Obrien,Group Study,81
Jacob Rhodes,Group Study,88
Kim Lopez,Group Study,84
Benjamin Kaiser,Group Study,79
Tamara White,Group Study,79
Taylor Tucker,Group Study,82
Adrian Santana,Group Study,87
Michael Lopez,Group Study,91
Stacey Reynolds,Group Study,82
Marie Nelson,Group Study,70
Dana Koch,Group Study,93
Kenneth Murray,Group Study,93
Cindy Smith,Group Study,76
Dawn Whitehead,Group Study,92
Nicole Burgess,Group Study,91
Karen Dean,Group Study,79
Ralph Henry,Group Study,77
Isabel Simpson,Group Study,87
Kevin Oconnell,Group Study,79
Mary Odom,Group Study,82
Albert Ritter,Group Study,80
Linda Miller,Group Study,84
Gloria Rose,Group Study,82
Nicholas Nelson,Group Study,88
Jaime Strickland,Group Study,88
Stephanie Reed,Group Study,88
Lawrence Perez,Group Study,87
Brittney Hess,Group Study,83
Antonio Mullins,Group Study,75
Kim Phillips,Group Study,95
Joseph Jones,Group Study,95
Marisa Nguyen,Group Study,85
Shane Gentry,Group Study,84
Ian Lynch,Group Study,80
Alyssa Mullen,Group Study,79
Mary Rush,Group Study,82
Shannon Rogers,Group Study,82
Brett Torres MD,Group Study,83
John Miller,Group Study,82
Colton Nichols,Group Study,74
Tina Brown DVM,Group Study,80
Peter Mclean,Group Study,87
Maria Garcia,Group Study,86
Micheal Gomez,Group Study,83
Kathleen Figueroa,Group Study,86
Nicholas Gilbert,Group Study,86
Chloe Johnson,Group Study,84
Christopher Ramirez,Group Study,84
Steven Carey,Group Study,87
Sarah Burns,Group Study,83
Julie Massey,Group Study,84
Kayla Perez,Group Study,88
Tyler Morales,Group Study,88
Jonathan Bailey,Group Study,86
Robert Cannon,Group Study,82
Greg Davis,Group Study,80
Tanya Ball,Group Study,83
Melissa Thompson,Group Study,86
Richard Pena,Group Study,84
Marc Swanson,Group Study,90
Joel Kramer,Group Study,78
Stephanie Howard,Group Study,100
Caitlin Adams,Group Study,85
Christopher Wells,Group Study,85
Kaitlyn Pearson,Group Study,77
Lisa Mcneil,Group Study,81
Shannon Craig,Group Study,83
Kristina Walker,Group Study,81
Karen Mcclain,Group Study,89
William Castillo IV,Group Study,84
Matthew Jones,Group Study,87
Arthur Shelton,Group Study,84
Jacqueline Owens,Group Study,93
Jessica Holmes,Group Study,91
Cameron Payne,Group Study,81
Jennifer Alvarado,Group Study,84
Timothy Caldwell,Group Study,87
Samuel Hayes,Group Study,79
Luis Mccoy,Group Study,82
Jodi Chen,Group Study,84
Joel Schroeder,Group Study,85
Cody Reynolds,Group Study,86
Stephanie Nguyen,Group Study,82
Billy Khan,Group Study,84
Jennifer Smith,Group Study,88
William Page,Group Study,84
Deborah Wilson,Group Study,87
Curtis Campbell,Group Study,78
Malik Alexander,Group Study,81
Natalie Patton,Group Study,91
Chase Bryan,Group Study,83
Darrell Lopez,Group Study,94
Robin Gutierrez,Group Study,74
Michael Wright,Group Study,88
Colton Reid,Group Study,81
Terri Turner,Group Study,82
Cassandra Moore,Group Study,83
Casey Andersen,Group Study,80
Brittany Jackson,Group Study,73
Mary Sandoval DDS,Group Study,83
Margaret Dillon,Group Study,86
Adam Washington,Group Study,84
Jenna Day,Group Study,88
Kyle Waters,Group Study,85
Nicole Harris,Group Study,86
Nichole Henry,Group Study,76
John Swanson,Group Study,86
Keith Benson,Group Study,86
Kelly Aguirre,Group Study,90
Angela Bowman,Group Study,88
Marie Gallagher,Group Study,85
David Goodman,Group Study,88
Dr. Adam Tran,Group Study,82
Erik Duncan,Group Study,85
Sarah Armstrong,Group Study,85
Natasha Dixon,Group Study,90
Tyler Brown,Group Study,82
Jill Barron,Group Study,91
Heather Vaughan,Group Study,84
Margaret Jones,Group Study,85
April Johnson,Group Study,91
Angel Macdonald,Group Study,89
Jason Brewer,Group Study,85
Courtney Taylor,Group Study,80
Angela Rosario,Group Study,87
Melissa Flores,Group Study,84
Brian Mcknight,Group Study,82
Jonathan Lutz,Group Study,88
Erin Steele,Group Study,88
Brandon Little,Group Study,83
Shannon Lee,Group Study,87
Michael Reyes,Group Study,73
Denise Friedman,Group Study,86
Raymond Walters,Group Study,79
Nicole Cunningham,Group Study,79
Elizabeth Gordon,Group Study,92
Diana Perez,Group Study,83
Brett Haley,Group Study,86
Carla Foster,Group Study,76
Ashley Edwards,Group Study,84
Diane Walker,Group Study,88
Jonathan Miller,Group Study,77
Samantha Bailey,Group Study,85
Michael Chapman,Group Study,81
Alexander Smith,Group Study,90
Benjamin Duran,Group Study,84
Joyce Atkinson,Group Study,80
Mark Jones,Group Study,88
Debbie Schultz,Group Study,81
