Student_Name,Study_Method,Test_Score
Thomas Harmon,Self-Study,67
Shane Schneider,Self-Study,84
William Davis,ChatGPT,55
Jackie Morales,Tutoring,83
Janet Schultz,ChatGPT,69
Kimberly Vargas,Self-Study,74
Courtney Rios,Group Study,81
Sydney Walsh,Group Study,90
Benjamin Silva,Group Study,74
Amy Madden,Group Study,74
Richard Sims,ChatGPT,58
Timothy King,Tutoring,55
Amanda Wiley,Group Study,55
Erica Taylor,Group Study,65
Ruben Jones,Tutoring,84
Casey Parker,ChatGPT,72
Renee George,Group Study,79
Cheryl Saunders,Group Study,73
Megan Garcia,Self-Study,77
Gabriella Williams,ChatGPT,80
Christopher Perkins,Self-Study,62
Melvin Wilson,Group Study,62
Lawrence Baker,ChatGPT,75
Jordan Nichols,Self-Study,79
Amy Horn,Tutoring,63
Andrew Simmons,Group Study,82
James Morgan,Self-Study,76
Bryan Edwards,ChatGPT,62
Brad Ortega,Self-Study,60
Melissa Hicks,Group Study,69
Michael Burns,ChatGPT,77
Monica Jackson,ChatGPT,72
Rhonda Wong,Group Study,64
Courtney Campos,Tutoring,73
Ruth Koch,ChatGPT,70
Billy Boyd,Tutoring,78
Joseph Williams,ChatGPT,71
Rodney Gordon,ChatGPT,75
Sherri Williams,ChatGPT,67
Brandy Reed,ChatGPT,93
Laura Parker,Self-Study,71
Mark Smith,Self-Study,71
Edward Miller,ChatGPT,69
Shannon Thompson,ChatGPT,67
Suzanne Hanson,ChatGPT,68
Caroline Brown,Group Study,89
Laurie Green,Tutoring,93
Douglas Small,ChatGPT,68
David French,Group Study,76
Nichole Nielsen,ChatGPT,82
Leslie Garcia,Self-Study,75
Paul Taylor,Self-Study,82
Brandi Bennett,ChatGPT,81
Amy Cortez,Tutoring,83
Sharon Hinton,Self-Study,69
Clinton Hardy,Group Study,69
Scott Marshall,Tutoring,62
Julia Williams,ChatGPT,93
Erica Gay,Self-Study,90
Jerry Garcia,ChatGPT,81
Mr. Dalton Hall,ChatGPT,60
Ann Perez,Tutoring,69
Christopher Wong,Group Study,73
Jessica Henderson,ChatGPT,79
Veronica Norris,Tutoring,60
Gregory Smith,ChatGPT,75
Nicole Taylor,Group Study,59
Jonathan Perez,Self-Study,77
John Reeves,Tutoring,88
Joshua Robinson,Self-Study,65
Tony Swanson,Self-Study,73
Amber Smith,Self-Study,85
John Clark,Group Study,75
Sarah Ramsey,Self-Study,79
Brandon Patterson,Tutoring,73
Tammy Pope,Tutoring,81
Daniel Cordova,Self-Study,69
Jason Porter,Tutoring,89
Kathy Lewis,ChatGPT,86
Tim Carson,Tutoring,71
Timothy Lutz,ChatGPT,70
Daniel George,Group Study,83
Jesse Tapia,Tutoring,79
Brittany Robertson,Tutoring,76
Cathy Hicks,Group Study,77
Jason Burke,Group Study,78
Sarah Santos,Tutoring,70
Mrs. Carla Rodriguez DDS,ChatGPT,60
Colton Vargas,Self-Study,80
Sara Lawrence,Group Study,82
Cody Johnson,ChatGPT,83
Lucas Armstrong III,Group Study,74
Austin Benson,Group Study,73
Mr. John Davis DVM,Tutoring,70
Rebecca Thomas,Tutoring,89
Rebecca Jones,Self-Study,78
Robert Ramirez,Group Study,66
Ryan Thompson,Self-Study,73
Robert Brown,Tutoring,80
Margaret Bell,Tutoring,80
Tracy Green,ChatGPT,61
Maurice Perez,Self-Study,70
Sharon Burgess,ChatGPT,56
Natasha Black,Tutoring,63
Cassie Boyer,ChatGPT,87
Jeffrey Miranda,Tutoring,76
Christine Wright,Self-Study,68
Kimberly Gilmore,Tutoring,65
Edward Mata,ChatGPT,73
Mary Meyer,ChatGPT,58
Jacob Hoffman,ChatGPT,75
Madeline Henderson,Self-Study,68
Andrea White,Group Study,71
Michelle Hayden,Self-Study,78
Christopher Kelly,Tutoring,67
Diana Henderson,ChatGPT,88
Justin Ryan,Tutoring,69
John Gonzalez,Group Study,89
Shawn Myers,ChatGPT,89
Regina Evans,Group Study,89
Joshua Taylor,Tutoring,63
Robert Short,Group Study,69
Richard Chambers,Self-Study,77
Crystal Foley,Group Study,62
Elijah Calhoun,Self-Study,68
Brandon Anderson,ChatGPT,70
Joseph Adams,Self-Study,88
Andrea Stone,Group Study,94
Amanda Brown,ChatGPT,66
James Thomas,Group Study,64
John Washington,Tutoring,65
Craig Vaughn,Self-Study,76
Heidi Morrison,Group Study,63
Patricia Rubio,Self-Study,68
David Bowman,Self-Study,70
Courtney Andrews,Self-Study,81
Laura Watson,Self-Study,61
Stephen King,ChatGPT,70
Marie Collins,ChatGPT,84
Steven Mcdonald,Tutoring,66
Rebecca Jenkins,Self-Study,75
Shannon Williamson,Tutoring,76
Daniel Bird,Tutoring,61
Michael Carey,Self-Study,77
Darren Harvey,Tutoring,68
Cynthia Johnson,Self-Study,77
Patrick Harrison,Group Study,80
Dr. David Bowers,Tutoring,85
